Sr.,Stock Name,Symbol,,,,
18,Engineers India Limited,ENGINERSIN,,,,
26,Nhpc Limited,NHPC,,,,
15,Bharat Petroleum Corporation Limited,BPCL,,,,
24,Indian Oil Corporation Limited,IOC,,,,
1,Abbott India Limited,ABBOTINDIA,,,,
23,Aditya Birla Capital Ltd,ABCAPITAL,,,,
27,Gmr Infrastructure Limited,GMRINFRA,,,,
25,Steel Authority Of India Limited,SAIL,,,,
21,Mangalore Refinery And Petrochemicals Limited,MRPL,,,,
20,Castrol India Limited,CASTROLIND,,,,
22,Redington (india) Limited,REDINGTON,,,,
19,Nmdc Limited,NMDC,,,,
13,Can Fin Homes Limited,CANFINHOME,,,,
17,V-guard Industries Limited,VGUARD,,,,
